지역명,규모구분,연도,월,분양가격(제곱미터),제곱미터당분양가격,평당분양가격,전용면적
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2186,2186.0,7213.799999999999,60~85
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2516,2516.0,8302.8,85~102
경북,전용면적 102제곱미터초과,2015,11,2370,2370.0,7821.0,102~
경남,모든면적,2015,11,"2,298",2298.0,7583.4,모든면적
경남,전용면적 60제곱미터이하,2015,11,2200,2200.0,7260.0,60
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2322,2322.0,7662.599999999999,60~85
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2980,2980.0,9834.0,85~102
경남,전용면적 102제곱미터초과,2015,11,3043,3043.0,10041.9,102~
제주,모든면적,2015,11,"2,232",2232.0,7365.599999999999,모든면적
제주,전용면적 60제곱미터이하,2015,11,  ,,,60
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2225,2225.0,7342.5,60~85
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2583,2583.0,8523.9,85~102
제주,전용면적 102제곱미터초과,2015,11,2574,2574.0,8494.199999999999,102~
서울,모든면적,2015,12,"6,041",6041.0,19935.3,모든면적
서울,전용면적 60제곱미터이하,2015,12,6321,6321.0,20859.3,60
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,12,5966,5966.0,19687.8,60~85
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,12,6513,6513.0,21492.899999999998,85~102
서울,전용면적 102제곱미터초과,2015,12,6551,6551.0,21618.3,102~
인천,모든면적,2015,12,"3,184",3184.0,10507.199999999999,모든면적
인천,전용면적 60제곱미터이하,2015,12,3328,3328.0,10982.4,60
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3119,3119.0,10292.699999999999,60~85
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3545,3545.0,11698.5,85~102
인천,전용면적 102제곱미터초과,2015,12,3408,3408.0,11246.4,102~
경기,모든면적,2015,12,"3,198",3198.0,10553.4,모든면적
경기,전용면적 60제곱미터이하,2015,12,3293,3293.0,10866.9,60
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3314,3314.0,10936.199999999999,60~85
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3449,3449.0,11381.699999999999,85~102
경기,전용면적 102제곱미터초과,2015,12,3850,3850.0,12705.0,102~
부산,모든면적,2015,12,"3,127",3127.0,10319.099999999999,모든면적
부산,전용면적 60제곱미터이하,2015,12,2951,2951.0,9738.3,60
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3032,3032.0,10005.6,60~85
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2957,2957.0,9758.1,85~102
부산,전용면적 102제곱미터초과,2015,12,3739,3739.0,12338.699999999999,102~
대구,모든면적,2015,12,"2,962",2962.0,9774.6,모든면적
대구,전용면적 60제곱미터이하,2015,12,3282,3282.0,10830.599999999999,60
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2971,2971.0,9804.3,60~85
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2532,2532.0,8355.6,85~102
대구,전용면적 102제곱미터초과,2015,12,2743,2743.0,9051.9,102~
광주,모든면적,2015,12,"2,476",2476.0,8170.799999999999,모든면적
광주,전용면적 60제곱미터이하,2015,12,2395,2395.0,7903.5,60
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2489,2489.0,8213.699999999999,60~85
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,  ,,,85~102
광주,전용면적 102제곱미터초과,2015,12,  ,,,102~
대전,모든면적,2015,12,"2,454",2454.0,8098.2,모든면적
대전,전용면적 60제곱미터이하,2015,12,2585,2585.0,8530.5,60
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2428,2428.0,8012.4,60~85
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2461,2461.0,8121.299999999999,85~102
대전,전용면적 102제곱미터초과,2015,12,  ,,,102~
울산,모든면적,2015,12,"3,043",3043.0,10041.9,모든면적
울산,전용면적 60제곱미터이하,2015,12,2584,2584.0,8527.199999999999,60
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3048,3048.0,10058.4,60~85
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2663,2663.0,8787.9,85~102
울산,전용면적 102제곱미터초과,2015,12,2874,2874.0,9484.199999999999,102~
세종,모든면적,2015,12,"2,665",2665.0,8794.5,모든면적
세종,전용면적 60제곱미터이하,2015,12,2601,2601.0,8583.3,60
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2676,2676.0,8830.8,60~85
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2661,2661.0,8781.3,85~102
세종,전용면적 102제곱미터초과,2015,12,2752,2752.0,9081.6,102~
강원,모든면적,2015,12,"2,171",2171.0,7164.299999999999,모든면적
강원,전용면적 60제곱미터이하,2015,12,2292,2292.0,7563.599999999999,60
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2193,2193.0,7236.9,60~85
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2061,2061.0,6801.299999999999,85~102
강원,전용면적 102제곱미터초과,2015,12,2171,2171.0,7164.299999999999,102~
충북,모든면적,2015,12,"2,005",2005.0,6616.5,모든면적
충북,전용면적 60제곱미터이하,2015,12,1941,1941.0,6405.299999999999,60
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2017,2017.0,6656.099999999999,60~85
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2276,2276.0,7510.799999999999,85~102
충북,전용면적 102제곱미터초과,2015,12,2261,2261.0,7461.299999999999,102~
충남,모든면적,2015,12,"2,269",2269.0,7487.7,모든면적
충남,전용면적 60제곱미터이하,2015,12,2438,2438.0,8045.4,60
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2279,2279.0,7520.7,60~85
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2523,2523.0,8325.9,85~102
충남,전용면적 102제곱미터초과,2015,12,2444,2444.0,8065.2,102~
전북,모든면적,2015,12,"1,983",1983.0,6543.9,모든면적
전북,전용면적 60제곱미터이하,2015,12,1925,1925.0,6352.5,60
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1987,1987.0,6557.099999999999,60~85
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2377,2377.0,7844.099999999999,85~102
전북,전용면적 102제곱미터초과,2015,12,2282,2282.0,7530.599999999999,102~
전남,모든면적,2015,12,"1,909",1909.0,6299.7,모든면적
전남,전용면적 60제곱미터이하,2015,12,1999,1999.0,6596.7,60
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1906,1906.0,6289.799999999999,60~85
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2262,2262.0,7464.599999999999,85~102
전남,전용면적 102제곱미터초과,2015,12,2176,2176.0,7180.799999999999,102~
경북,모든면적,2015,12,"2,181",2181.0,7197.299999999999,모든면적
경북,전용면적 60제곱미터이하,2015,12,2178,2178.0,7187.4,60
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2184,2184.0,7207.2,60~85
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2516,2516.0,8302.8,85~102
경북,전용면적 102제곱미터초과,2015,12,2370,2370.0,7821.0,102~
경남,모든면적,2015,12,"2,307",2307.0,7613.099999999999,모든면적
경남,전용면적 60제곱미터이하,2015,12,2280,2280.0,7524.0,60
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2329,2329.0,7685.7,60~85
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2934,2934.0,9682.199999999999,85~102
경남,전용면적 102제곱미터초과,2015,12,3019,3019.0,9962.699999999999,102~
제주,모든면적,2015,12,"2,268",2268.0,7484.4,모든면적
제주,전용면적 60제곱미터이하,2015,12,  ,,,60
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2260,2260.0,7458.0,60~85
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2583,2583.0,8523.9,85~102
제주,전용면적 102제곱미터초과,2015,12,2574,2574.0,8494.199999999999,102~
서울,모든면적,2016,1,"6,108",6108.0,20156.399999999998,모든면적
서울,전용면적 60제곱미터이하,2016,1,6427,6427.0,21209.1,60
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,1,6036,6036.0,19918.8,60~85
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,1,6513,6513.0,21492.899999999998,85~102
서울,전용면적 102제곱미터초과,2016,1,6551,6551.0,21618.3,102~
인천,모든면적,2016,1,"3,191",3191.0,10530.3,모든면적
인천,전용면적 60제곱미터이하,2016,1,3328,3328.0,10982.4,60
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3110,3110.0,10263.0,60~85
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,1,3545,3545.0,11698.5,85~102
인천,전용면적 102제곱미터초과,2016,1,3408,3408.0,11246.4,102~
경기,모든면적,2016,1,"3,198",3198.0,10553.4,모든면적
경기,전용면적 60제곱미터이하,2016,1,3293,3293.0,10866.9,60
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3313,3313.0,10932.9,60~85
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,1,3450,3450.0,11385.0,85~102
경기,전용면적 102제곱미터초과,2016,1,3850,3850.0,12705.0,102~
부산,모든면적,2016,1,"3,152",3152.0,10401.599999999999,모든면적
부산,전용면적 60제곱미터이하,2016,1,2951,2951.0,9738.3,60
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3057,3057.0,10088.1,60~85
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2957,2957.0,9758.1,85~102
부산,전용면적 102제곱미터초과,2016,1,3812,3812.0,12579.599999999999,102~
대구,모든면적,2016,1,"3,086",3086.0,10183.8,모든면적
대구,전용면적 60제곱미터이하,2016,1,3341,3341.0,11025.3,60
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3103,3103.0,10239.9,60~85
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2532,2532.0,8355.6,85~102
대구,전용면적 102제곱미터초과,2016,1,2743,2743.0,9051.9,102~
광주,모든면적,2016,1,"2,569",2569.0,8477.699999999999,모든면적
광주,전용면적 60제곱미터이하,2016,1,2395,2395.0,7903.5,60
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2582,2582.0,8520.6,60~85
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,1,  ,,,85~102
광주,전용면적 102제곱미터초과,2016,1,  ,,,102~
대전,모든면적,2016,1,"2,454",2454.0,8098.2,모든면적
대전,전용면적 60제곱미터이하,2016,1,2585,2585.0,8530.5,60
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2428,2428.0,8012.4,60~85
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2461,2461.0,8121.299999999999,85~102
대전,전용면적 102제곱미터초과,2016,1,  ,,,102~
울산,모든면적,2016,1,"3,046",3046.0,10051.8,모든면적
울산,전용면적 60제곱미터이하,2016,1,2584,2584.0,8527.199999999999,60
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3053,3053.0,10074.9,60~85
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2663,2663.0,8787.9,85~102
울산,전용면적 102제곱미터초과,2016,1,2874,2874.0,9484.199999999999,102~
세종,모든면적,2016,1,"2,665",2665.0,8794.5,모든면적
세종,전용면적 60제곱미터이하,2016,1,2601,2601.0,8583.3,60
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2676,2676.0,8830.8,60~85
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2661,2661.0,8781.3,85~102
세종,전용면적 102제곱미터초과,2016,1,2752,2752.0,9081.6,102~
강원,모든면적,2016,1,"2,173",2173.0,7170.9,모든면적
강원,전용면적 60제곱미터이하,2016,1,2290,2290.0,7557.0,60
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2199,2199.0,7256.7,60~85
